,cal_source,og_cat,og_cal_ra,og_cal_rae,og_cal_dec,og_cal_dece,og_ref,cat2,ICRF2_cal_ra,ICRF2_cal_rae,ICRF2_cal_dec,ICRF2_cal_dece,ICRF2_ref,cat3,RFC_cal_ra,RFC_cal_rae,RFC_cal_dec,RFC_cal_dece,RFC_ref
J0030+0451,J0029+0554,RFC,00:29:45.896319,0:0:0.000011,+05:54:40.71223,0:0:0.000020,rfc,ICRF2,00:29:45.89631066,0:0:0.00001584,+05:54:40.7124201,0:0:0.0003807,mab+2009,RFC,00:29:45.896319,0:0:0.000011,+05:54:40.71223,0:0:0.000020,rfc
J0437-4715,J0439-4522,ICRF1,04:39:00.854714,0:0:0.000057,-45:22:22.56260,0:0:0.00078,mae+98,ICRF2,04:39:00.85466883,0:0:0.00001180,-45:22:22.5628657,0:0:0.0001577,mab+2009,RFC,04:39:00.854662,0:0:0.000019,-45:22:22.56331,0:0:0.000021,rfc
#J0610-2100,J0610-2115,NVSS,06:10:02.08,0:0:0.03,-21:15:38.7,0:0:0.6,con98,ICRF2,none,none,none,none,none,RFC,06:10:02.050318,0:0:0.000130,-21:15:38.64677,0:0:0.000450,rfc
J1012+5307,J0619+0736,RFC,06:19:09.971062,0:0:0.000015,+07:36:41.21946,0:0:0.000027,rfc,ICRF2,06:19:09.97105617,0:0:0.00020214,+07:36:41.2205241,0:0:0.0016635,mab+2009,RFC,06:19:09.971062,0:0:0.000015,+07:36:41.21946,0:0:0.000027,rfc
#J1022+1001,J0231+1001,FIRST,10:23:10.896,0:0:0.00002802,+10:01:26.96,0:0:0.0004416,becker95,ICRF2,10:25:56.28536996,0:0:0.00000433,+12:53:49.0220104,0:0:0.0000794,mab+2009,RFC,10:25:56.285381,0:0:0.000011,+12:53:49.02181,0:0:0.000016,rfc
J1024-0719,J1028-0844,RFC,10:28:38.796471,0:0:0.000011,-08:44:38.53615,0:0:0.000025,rfc,ICRF2,10:28:38.79633263,0:0:0.00011402,-08:44:38.5326713,0:0:0.0034669,mab+2009,RFC,10:28:38.796471,0:0:0.000011,-08:44:38.53615,0:0:0.000025,rfc
J1640+2224,J1641+2257,RFC,16:41:25.227567,0:0:0.000012,+22:57:04.03277,0:0:0.000014,rfc,ICRF2,16:41:25.22756501,0:0:0.00000376,+22:57:04.0327611,0:0:0.0000698,mab+2009,RFC,16:41:25.227567,0:0:0.000012,+22:57:04.03277,0:0:0.000014,rfc
J1643-1224,J1638-1415,RFC,16:38:45.284970,0:0:0.000012,-14:15:50.23724,0:0:0.000030,rfc,ICRF2,16:38:45.28496140,0:0:0.00004740,−14:15:50.2376395,0:0:0.0013629,mab+2009,RFC,16:38:45.284970,0:0:0.000012,-14:15:50.23724,0:0:0.000030,rfc
J1713+0747,J1719+0817,VCS1,17:19:52.206219,0:0:0.00002874312,+08:17:03.55385,0:0:0.0005319,bgp+02,ICRF2,17:19:52.20621337,0:0:0.00001042,+08:17:03.5540032,0:0:0.0003546,mab+2009,RFC,17:19:52.206218,0:0:0.000011,+08:17:03.55404,0:0:0.000020,rfc
J1730-2304,J1726-2258,RFC,17:26:58.904518,0:0:0.000012,-22:58:01.54579,0:0:0.000025,rfc,ICRF2,17:26:58.90450573,0:0:0.00004313,−22:58:01.5489316,0:0:0.0014151,mab+2009,RFC,17:26:58.904518,0:0:0.000012,-22:58:01.54579,0:0:0.000025,rfc
J1738+0333,J1740+0311,RFC,17:40:37.198999,0:0:0.000014,+03:11:47.84008,0:0:0.000027,rfc,ICRF2,17:40:37.19900343,0:0:0.00011046,+03:11:47.8383535,0:0:0.0014578,mab+2009,RFC,17:40:37.198999,0:0:0.000014,+03:11:47.84008,0:0:0.000027,rfc
J1853+1303,J1852+1426,RFC,18:52:50.580494,0:0:0.000014,+14:26:39.69937,0:0:0.000024,rfc,ICRF2,18:52:50.58049382,0:0:0.00006328,+14:26:39.6995824,0:0:0.0023370,mab+2009,RFC,18:52:50.580494,0:0:0.000014,+14:26:39.69937,0:0:0.000024,rfc
J1910+1256,J1911+1611,RFC,19:11:58.257404,0:0:0.000011,+16:11:46.86520,0:0:0.000015,rfc,ICRF2,19:11:58.25741154,0:0:0.00000722,+16:11:46.8654736,0:0:0.0001476,mab+2009,RFC,19:11:58.257404,0:0:0.000011,+16:11:46.86520,0:0:0.000015,rfc
J1918-0642,J1912-0804,RFC,19:12:07.128810,0:0:0.000012,-08:04:21.90271,0:0:0.000027,rfc,ICRF2,19:12:07.12882577,0:0:0.00002963,−08:04:21.9020986,0:0:0.0008920,mab+2009,RFC,19:12:07.128810,0:0:0.000012,-08:04:21.90271,0:0:0.000027,rfc
B1937+21,1923+210,IERS 1993,19:25:59.605374,0:0:0.000019,+21:06:26.16209,0:0:0.00028,mae+98,ICRF2,19:25:59.60535560,0:0:0.00000298,+21:06:26.1620442,0:0:0.0000424,mab+2009,RFC,19:25:59.605359,0:0:0.00012,+21:06:26.16208,0:0:0.00014,rfc
J2010-1323,J2011−1546,RFC,20:11:15.710928,0:0:0.000009,-15:46:40.25373,0:0:0.00019,rfc,ICRF2,20:11:15.71093257,0:0:0.00000349,-15:46:40.2536652,0:0:0.0000676,mab+2009,RFC,20:11:15.710928,0:0:0.000009,-15:46:40.25373,0:0:0.00019,rfc
J2145-0750,J2142-0437,RFC,21:42:36.901693 ,0:0:0.000011,-04:37:43.51257 ,0:0:0.000024,rcf,ICRF2,21:42:36.90167606,0:0:0.00003202,-04:37:43.5126970,0:0:0.0008684,mab+2009,RFC,21:42:36.901693 ,0:0:0.000011,-04:37:43.51257 ,0:0:0.000024,rcf
J2317+1439,J2318+2404,RFC,23:18:33.967844,0:0:0.00013,+24:04:39.74943,0:0:0.00015,rfc,ICRF2,23:18:33.96786857,0:0:0.00001915,24:04:39.7496509,0:0:0.0005054,mab+2009,RFC,23:18:33.967844,0:0:0.00013,+24:04:39.74943,0:0:0.00015,rfc
