,ref,equinox,epoch_v,ra_v,ra_ve,dec_v,dec_ve,pmra_v,pmra_v_uR,pmra_v_uL,pmdec_v,pmdec_v_uR,pmdec_v_uL,px_v,px_v_uR,px_v_uL
J0030+0451,MSPSR Pi,J2000.0,57849.0,00h30m27.42502s,0.06 mas,"+04°51'39.7159""",0.2 mas,-6.13,0.07,0.07,0.34,0.15,0.16,3.02,0.07,0.07
J0437-4715,Deller 2008,J2000.0,54100.0,04h37m15.883250s,0.000003 seconds,"-47°15'09.031863""",0.000037 arcsec,121.679,0.052,0.052,-71.820,0.086,0.086,6.396,0.054,0.054
J0610-2100,MSPSR Pi,J2000.0,57757.0,06h10m13.60053s,0.08 mas,"-21°00'27.7923""",0.2 mas,9.1,0.01,0.01,15.96,0.25,0.24,0.73,0.10,0.10
J1012+5307,MSPSR Pi,J2000.0,57700.0,10h12m33.43991s,0.04 mas,"+53°07'02.1110""",0.0001 arcsec,2.67,0.05,0.05,-25.39,0.14,0.15,1.17,0.04,0.05
J1022+1001,PSR Pi I,J2000.0,56000.0,10h22m57.9957s,0.0001 seconds,"10°01'52.765""",0.001 arcsec,-14.921,0.050,0.033,5.611,0.033,0.035,1.387,0.041,0.028
J1024-0719,MSPSR Pi,J2000.0,57797.0,10h24m38.65725s,0.06 mas,"-07°19'19.8014""",0.2 mas,-35.32,0.07,0.07,-48.1,0.2,0.2,0.94,0.06,0.06
J1640+2224,MSPSR Pi,J2000.0,57500.0,16h40m16.74587s,0.07 mas,"22°24'08.7642""",0.0001 arcsec,2.19,0.09,0.09,-11.30,0.16,0.13,0.68,0.08,0.08
J1643-1224,MSPSR Pi,J2000.0,57700.0,16h43m38.16407s,0.1 mas,"-12°24'58.6531""",0.4 mas,6.2,0.2,0.2,3.3,0.6,0.6,1.31,0.17,0.18
J1713+0747,Chatterjee 2009,J2000.0,52275.0,17h13m49.5306s,0.0001 seconds,07°47'37.519",0.002 arcsec,4.75,0.17,0.07,-3.67,0.16,0.15,0.95,0.06,0.05
J1730-2304,MSPSR Pi,J2000.0,57821.0,17h30m21.67969s,0.2 mas,"-23°04'31.1749""",0.5 mas,20.3,0.2,0.2,-4.8,0.5,0.5,1.57,0.18,0.18
J1738+0333,MSPSR Pi,J2000.0,57829.0,17h38m53.97001s,0.06 mas,"03°33'10.9124""",0.1 mas,6.98,0.08,0.08,5.18,0.16,0.16,0.50,0.06,0.06
J1853+1303,MSPSR Pi,J2000.0,57846.0,18h53m57.31785s,0.06 mas,"13°03'44.0471""",0.1 mas,-1.4,0.1,0.1,-2.8,0.2,0.2,0.49,0.07,0.07
J1910+1256,MSPSR Pi,J2000.0,57847.0,19h10m09.70165s,0.03 mas,"12°56'25.4316""",0.06 mas,0.50,0.04,0.04,-6.85,0.09,0.09,0.254,0.035,0.035
J1918-0642,MSPSR Pi,J2000.0,57768.0,19h18m48.02959s,0.1 mas,"-06°42'34.9335""",0.2 mas,-7.1,0.1,0.1,-5.7,0.3,0.3,0.60,0.12,0.12
B1937+21,Bartel96,J1990.0,46853.0,19h39m38.5612s,0.00018 seconds,"+21°34'59.1316""",0.0024 arcsec
J2010-1323,PSR Pi II,J2000.0,56000.0,20h10m45.9211s,0.0001 seconds,"-13°23'56.083""",0.004 arcsec,2.358,0.329,0.210,-5.611,0.257,0.303,0.484,0.166,0.120
J2145-0750,PSR Pi II,J2000.0,56000.0,21h45m50.4588s,0.0001 seconds,"-7°50'18.513""",0.002 arcsec,-9.491,0.052,0.042,-9.114,0.090,0.076,1.603,0.063,0.009
J2317+1439,PSR Pi II,J2000.0,56000.0,23h17m09.2364s,0.0001 seconds,"14°39'31.265""",0.001 arcsec,-1.476,0.465,0.065,3.806,0.272,0.704,0.603,1.533,0.241
