,epoch_t,ephem,equinox,ra_t,ra_te,dec_t,dec_te,pmra_t,pmra_te,pmdec_t,pmdec_te,px_t,px_te,cor
J0030+0451,57849.0,DE440,J2000.0,0h30m27.42503587s,0.4549703297004234 mas,4d51m39.71411431s,1.128534926991149 mas,-6.2578345561116056,0.07044155952481485,0.5900829896661053,0.17433981836701168,3.042303783374286,0.05497342489982392,-0.9984785788822046
J0437-4715,54100.0,DE440,J2000.0,4h37m15.88307761s,0.19073681566831727 mas,-47d15m09.03187847s,0.5517281741741737 mas,121.49164616919929,0.017453593351882672,-71.51574126426934,0.04983488535128626,9.702975577396918,1.1142261613408133,-0.38998639101655413
#J0610-2100,57757.0,DE440,J2000.0,6h10m13.6003177s,0.5882971595959346 mas,-21d00m27.80672585s,0.6585381289906058 mas,10.102362299809187,0.34438340913455745,16.3609131414913,0.3738440376479011,3.958334428955449,1.5256581238442521,0.008073404213102976
#J1012+5307,57700.0,DE440,J2000.0,10h12m33.43968586s,0.18810315205238293 mas,53d07m02.11168952s,0.11619149778118895 mas,2.6319849707071414,0.030875300838019665,-25.540576901168393,0.019025883033227775,1.103188408974235,0.24890589346806138,0.38414993891448973
#J1022+1001,56000.0,DE440,J2000.0,10h22m58.03539923s,225.2361588088319 mas,10d01m54.27250036s,576.9530059302352 mas,-97.32433233141333,38.455848551719534,-205.77726668919152,98.50642266587288,2.8916101513405272,0.80401017560651,0.9999951786646555
J1024-0719,57797.0,DE440,J2000.0,10h24m38.65723515s,0.115978757153511 mas,-7d19m19.8030318s,0.15258906122207097 mas,-35.272914754515014,0.033517575950486184,-48.197046155836254,0.04113669136425826,0.8000673537660187,0.18095649980120768,0.7242750272783938
J1640+2224,57500.0,DE440,J2000.0,16h40m16.74587795s,0.03986934320492939 mas,22d24m08.76358223s,0.039079439149563674 mas,2.0957270210928223,0.006646856093803742,-11.319956229268845,0.006537624705912947,0.5860840596083617,0.18605739468689753,0.144795412018337
J1643-1224,57700.0,DE440,J2000.0,16h43m38.16451936s,0.4372462094377647 mas,-12d24m58.64650432s,1.4151014661410024 mas,5.983090050644014,0.06954858457119123,3.722606557957002,0.2205572259557113,0.42972423587439157,0.23245099683455545,0.5730644453431932
J1713+0747,52275.0,DE440,J2000.0,17h13m49.53072015s,0.01921591744869622 mas,7d47m37.52175191s,0.03188904479583107 mas,4.921563337531255,0.001649331689762604,-3.9150941610422554,0.002740660290515593,0.832885131130034,0.014935053510859345,0.17883042836886537
J1730-2304,57821.0,DE440,J2000.0,17h30m21.67956485s,1.2897849406466875 mas,-23d04m31.20614573s,23.192813572581965 mas,20.98205538569394,0.7823589501187914,15.444121513751735,14.01552077217419,2.2729855260255847,0.20807810304358687,0.9952826147773116
J1738+0333,57829.0,DE440,J2000.0,17h38m53.97006599s,0.06252508357063134 mas,3d33m10.91100097s,0.11548930680664271 mas,7.081055801526614,0.020895999729774014,4.999661007394484,0.03575228177519593,0.7169633899833985,0.19849579173898727,-0.2606071936268711
J1853+1303,57846.0,DE440,J2000.0,18h53m57.31793058s,0.023926382896092117 mas,13d03m44.04636148s,0.0604671022414263 mas,-1.585942173755051,0.008818603251229448,-2.9052285480697453,0.026153877523613762,0.6139623289601507,0.13174785646613962,-0.14212139796915657
J1910+1256,57847.0,DE440,J2000.0,19h10m09.70158711s,0.04608905748541124 mas,12d56m25.4313992s,0.11414000035434164 mas,0.25174336622849536,0.012811720303994578,-7.103207204226012,0.03255804080210666,0.03937430988172597,0.24139106686020484,-0.21951654139054877
J1918-0642,57768.0,DE440,J2000.0,19h18m48.02950041s,0.019688845106729875 mas,-6d42m34.93459303s,0.1745449951833457 mas,-7.146133247616181,0.0033136947773608014,-5.945917996794142,0.02967875671779205,0.7583947848245246,0.11117710853916357,-0.45035561968305005
B1937+21,46853.0,DE440,J2000.0,19h39m38.56113895s,0.04063976117688353 mas,21d34m59.1345338s,0.1051841700698473 mas,0.06590916185834608,0.00157243000244362,-0.4037958660018825,0.004070528566642103,0.2668867212161056,0.03081061022934958,-0.19258632447731422
J2010-1323,56000.0,DE440,J2000.0,20h10m45.92112267s,0.040711853450888326 mas,-13d23m56.08206903s,0.3441356805466571 mas,2.56038564992169,0.010475482339597044,-5.8555180172336865,0.08878155875072322,0.5138196569634467,0.10965571016476426,-0.904302935653005
J2145-0750,56000.0,DE440,J2000.0,21h45m50.45887452s,0.20537997640416933 mas,-7d50m18.51371007s,0.7985084691696263 mas,-9.546995960443152,0.05006971157226991,-8.970413759289768,0.19767115775947677,1.5931256961180673,0.1668201744832879,-0.9617250451656856
J2317+1439,56000.0,DE440,J2000.0,23h17m09.23639594s,0.017879105160039217 mas,14d39m31.26538642s,0.11967833231567523 mas,-1.3129938621986386,0.003807089163717621,3.4494379718709687,0.024048542388926765,0.6415938428386481,0.11758808341166287,-0.7718137449613052
